,transacao_id,cliente_id,data_compra,valor_compra,meio_pagamento,campanha,idade,renda_mensal,cidade,tipo_cliente,ultima_compra,frequencia_compras,total_gasto
0,1,398,2022-01-01,161,cartão,sem_campanha,42,6782,Fortaleza,ocasional,293,10,4146
1,2,583,2022-01-02,116,boleto,sem_campanha,40,4456,São Paulo,frequente,127,11,3674
2,3,726,2022-01-03,173,cartão,dia_pais,56,4005,Salvador,frequente,263,8,5911
3,4,435,2022-01-04,148,cartão,volta_as_aulas,25,5911,Porto Alegre,frequente,335,6,8738
4,5,577,2022-01-05,21,cartão,dia_pais,48,5815,Belo Horizonte,ocasional,332,10,7369
5,6,221,2022-01-06,121,cartão,sem_campanha,56,3943,Fortaleza,frequente,327,11,9054
6,7,308,2022-01-07,119,cartão,ano_novo,20,2508,Fortaleza,ocasional,251,4,6510
7,8,991,2022-01-08,183,boleto,black_friday,24,4798,São Paulo,ocasional,302,16,5380
8,9,798,2022-01-09,184,cartão,ano_novo,64,4536,São Paulo,frequente,236,10,6901
9,10,697,2022-01-10,66,cartão,black_friday,62,3517,Fortaleza,ocasional,200,9,4108
10,11,719,2022-01-11,171,cartão,dia_maes,30,5187,Recife,ocasional,230,9,3784
11,12,466,2022-01-12,146,cartão,volta_as_aulas,21,3962,Rio de Janeiro,ocasional,322,6,6281
12,13,99,2022-01-13,156,cartão,ano_novo,46,5507,Belo Horizonte,ocasional,112,8,6882
13,14,242,2022-01-14,119,boleto,sem_campanha,23,6114,Belo Horizonte,premium,194,14,7043
14,15,158,2022-01-15,146,cartão,sem_campanha,49,3057,São Paulo,ocasional,321,9,5550
15,16,610,2022-01-16,207,cartão,black_friday,52,4944,Fortaleza,ocasional,44,8,4285
16,17,554,2022-01-17,155,cartão,ano_novo,49,7360,Rio de Janeiro,ocasional,124,10,4931
17,18,651,2022-01-18,147,boleto,sem_campanha,33,7420,Manaus,ocasional,75,12,3866
18,19,795,2022-01-19,126,cartão,dia_maes,35,8478,Fortaleza,frequente,308,9,4227
19,20,920,2022-01-20,202,cartão,sem_campanha,68,5804,São Paulo,ocasional,271,10,5737
20,21,227,2022-01-21,85,cartão,sem_campanha,34,1877,Fortaleza,ocasional,164,8,1347
21,22,423,2022-01-22,109,pix,sem_campanha,59,5286,Belo Horizonte,ocasional,141,13,4911
22,23,72,2022-01-23,83,cartão,dia_pais,59,5381,Rio de Janeiro,ocasional,162,8,3992
23,24,243,2022-01-24,160,cartão,sem_campanha,49,5256,Fortaleza,ocasional,287,7,4645
24,25,530,2022-01-25,208,boleto,sem_campanha,53,5296,Curitiba,ocasional,185,9,3744
25,26,589,2022-01-26,133,cartão,sem_campanha,27,4929,Curitiba,ocasional,148,5,4764
26,27,45,2022-01-27,96,cartão,dia_pais,38,2558,Salvador,ocasional,76,7,5227
27,28,472,2022-01-28,231,cartão,sem_campanha,64,7165,Salvador,frequente,273,8,5897
28,29,371,2022-01-29,172,cartão,dia_pais,21,4043,Curitiba,premium,263,12,4331
29,30,855,2022-01-30,163,cartão,dia_maes,51,4079,Porto Alegre,ocasional,86,13,2924
30,31,652,2022-01-31,140,pix,ano_novo,22,5680,Curitiba,ocasional,54,12,5540
31,32,689,2022-02-01,183,boleto,sem_campanha,19,6138,Fortaleza,frequente,141,17,6365
32,33,734,2022-02-02,163,boleto,sem_campanha,55,6871,Manaus,ocasional,51,7,4988
33,34,927,2022-02-03,125,cartão,sem_campanha,25,4515,Belo Horizonte,frequente,6,7,5218
34,35,92,2022-02-04,134,cartão,volta_as_aulas,35,4671,Porto Alegre,premium,250,9,4252
35,36,22,2022-02-05,99,cartão,dia_pais,47,5844,Porto Alegre,frequente,269,7,5056
36,37,172,2022-02-06,92,cartão,sem_campanha,53,3340,Salvador,ocasional,17,6,6279
37,38,604,2022-02-07,135,cartão,ano_novo,27,5645,Fortaleza,ocasional,142,10,3385
38,39,192,2022-02-08,207,cartão,sem_campanha,56,4442,Rio de Janeiro,frequente,6,9,6046
39,40,77,2022-02-09,98,cartão,volta_as_aulas,61,5591,São Paulo,ocasional,87,8,4268
40,41,281,2022-02-10,191,cartão,sem_campanha,45,8840,Curitiba,ocasional,202,9,4019
41,42,364,2022-02-11,110,pix,sem_campanha,50,5738,São Paulo,ocasional,333,12,5038
42,43,179,2022-02-12,60,cartão,dia_pais,19,4139,Brasília,ocasional,262,13,5939
43,44,238,2022-02-13,177,cartão,black_friday,19,4914,Brasília,frequente,346,10,2488
44,45,135,2022-02-14,231,cartão,dia_maes,57,5164,São Paulo,frequente,307,8,3849
45,46,877,2022-02-15,107,cartão,sem_campanha,31,2781,Manaus,premium,271,16,3188
46,47,902,2022-02-16,71,cartão,sem_campanha,22,4091,Fortaleza,ocasional,55,11,6981
47,48,280,2022-02-17,172,cartão,sem_campanha,28,5183,Curitiba,frequente,229,14,3953
48,49,19,2022-02-18,103,cartão,dia_pais,19,6389,Salvador,ocasional,299,10,3093
49,50,595,2022-02-19,176,cartão,sem_campanha,21,2665,Brasília,frequente,187,6,2406
50,51,740,2022-02-20,207,boleto,sem_campanha,64,5464,Brasília,ocasional,269,14,5928
51,52,371,2022-02-21,166,cartão,natal,21,4043,Curitiba,premium,263,12,4331
52,53,777,2022-02-22,190,cartão,sem_campanha,45,3942,Brasília,frequente,106,16,7085
53,54,112,2022-02-23,190,cartão,dia_pais,68,5500,Curitiba,ocasional,138,7,5919
54,55,763,2022-02-24,199,cartão,dia_pais,27,4026,Recife,frequente,270,9,9169
55,56,676,2022-02-25,152,boleto,dia_pais,26,8378,Belo Horizonte,ocasional,364,11,5462
56,57,870,2022-02-26,188,cartão,black_friday,34,2297,Fortaleza,ocasional,332,20,6493
57,58,680,2022-02-27,158,cartão,sem_campanha,55,8436,Belo Horizonte,frequente,276,8,6453
58,59,221,2022-02-28,169,cartão,dia_maes,56,3943,Fortaleza,frequente,327,11,9054
59,60,920,2022-03-01,302,boleto,sem_campanha,68,5804,São Paulo,ocasional,271,10,5737
60,61,304,2022-03-02,162,cartão,dia_pais,52,6621,Brasília,frequente,270,12,6073
61,62,703,2022-03-03,75,boleto,volta_as_aulas,42,3515,Curitiba,ocasional,299,10,4637
62,63,325,2022-03-04,140,cartão,sem_campanha,42,5333,Brasília,ocasional,74,9,6886
63,64,437,2022-03-05,134,boleto,sem_campanha,33,4330,São Paulo,ocasional,9,13,4523
64,65,438,2022-03-06,136,pix,dia_maes,31,5291,Rio de Janeiro,ocasional,288,9,5174
65,66,170,2022-03-07,197,cartão,sem_campanha,60,6689,Brasília,ocasional,175,9,4502
66,67,375,2022-03-08,206,cartão,sem_campanha,61,3751,Porto Alegre,frequente,141,7,5052
67,68,557,2022-03-09,144,cartão,black_friday,41,5336,Rio de Janeiro,ocasional,57,7,5886
68,69,381,2022-03-10,80,cartão,volta_as_aulas,52,7321,Salvador,ocasional,292,7,5506
69,70,986,2022-03-11,154,cartão,volta_as_aulas,19,5592,Manaus,frequente,111,7,4295
70,71,14,2022-03-12,122,cartão,sem_campanha,53,5808,Salvador,frequente,244,7,4844
71,72,743,2022-03-13,160,cartão,dia_pais,38,4722,São Paulo,premium,54,6,6977
72,73,669,2022-03-14,143,cartão,dia_pais,40,3512,Curitiba,frequente,29,15,7084
73,74,500,2022-03-15,210,cartão,black_friday,18,5638,Curitiba,premium,306,11,2678
74,75,646,2022-03-16,163,cartão,dia_maes,31,3868,Manaus,frequente,247,11,1268
75,76,391,2022-03-17,122,cartão,sem_campanha,69,2931,Porto Alegre,ocasional,76,13,5359
76,77,549,2022-03-18,80,boleto,sem_campanha,41,4613,São Paulo,ocasional,276,5,6634
77,78,565,2022-03-19,147,boleto,black_friday,54,5978,Recife,ocasional,340,6,3840
78,79,530,2022-03-20,147,pix,natal,53,5296,Curitiba,ocasional,185,9,3744
79,80,983,2022-03-21,136,cartão,dia_pais,40,4129,Salvador,ocasional,56,11,4800
80,81,492,2022-03-22,188,cartão,sem_campanha,18,4021,Salvador,frequente,106,16,7004
81,82,550,2022-03-23,80,cartão,sem_campanha,33,2497,Manaus,ocasional,39,9,4143
82,83,699,2022-03-24,111,cartão,black_friday,39,5269,Brasília,premium,346,8,3439
83,84,385,2022-03-25,152,cartão,dia_pais,46,5428,Belo Horizonte,frequente,208,4,6028
84,85,196,2022-03-26,122,cartão,volta_as_aulas,69,7628,Manaus,frequente,217,8,8147
85,86,755,2022-03-27,132,boleto,sem_campanha,32,7516,São Paulo,frequente,28,10,4784
86,87,300,2022-03-28,146,cartão,ano_novo,54,2996,Salvador,ocasional,3,12,3748
87,88,815,2022-03-29,184,cartão,dia_maes,42,6378,Fortaleza,ocasional,283,13,4451
88,89,547,2022-03-30,144,boleto,dia_pais,21,5920,Porto Alegre,frequente,226,11,3796
89,90,727,2022-03-31,51,cartão,volta_as_aulas,18,2896,São Paulo,ocasional,267,5,6651
90,91,731,2022-04-01,119,cartão,sem_campanha,66,3922,Porto Alegre,frequente,154,8,6435
91,92,828,2022-04-02,174,cartão,black_friday,45,5712,Fortaleza,ocasional,39,6,3979
92,93,602,2022-04-03,188,boleto,dia_pais,38,8115,Brasília,ocasional,337,10,6917
93,94,308,2022-04-04,190,cartão,sem_campanha,20,2508,Fortaleza,ocasional,251,4,6510
94,95,252,2022-04-05,205,cartão,dia_maes,23,2446,Recife,ocasional,45,11,4113
95,96,8,2022-04-06,155,cartão,ano_novo,56,6322,Salvador,frequente,147,14,2385
96,97,768,2022-04-07,163,cartão,dia_pais,29,2666,Salvador,ocasional,273,7,4647
97,98,875,2022-04-08,99,cartão,sem_campanha,54,4180,São Paulo,ocasional,190,9,4747
98,99,208,2022-04-09,41,cartão,black_friday,59,5666,Recife,ocasional,13,13,4840
99,100,937,2022-04-10,79,cartão,sem_campanha,49,7292,Belo Horizonte,ocasional,175,9,6679
100,101,131,2022-04-11,114,cartão,natal,41,5419,Brasília,ocasional,240,10,5833
101,102,736,2022-04-12,82,cartão,natal,61,5418,Salvador,frequente,46,13,6959
102,103,709,2022-04-13,135,cartão,sem_campanha,36,5158,Curitiba,frequente,39,6,3606
103,104,980,2022-04-14,126,cartão,sem_campanha,31,3163,Salvador,ocasional,319,8,4709
104,105,654,2022-04-15,196,cartão,black_friday,29,6446,Curitiba,ocasional,54,12,3591
105,106,764,2022-04-16,101,cartão,sem_campanha,49,3164,Rio de Janeiro,ocasional,334,11,3443
106,107,608,2022-04-17,157,cartão,dia_maes,52,4705,Porto Alegre,ocasional,288,17,4775
107,108,26,2022-04-18,129,cartão,sem_campanha,50,3704,Porto Alegre,frequente,105,8,5139
108,109,623,2022-04-19,99,boleto,black_friday,30,6662,Manaus,frequente,43,10,6475
109,110,454,2022-04-20,113,boleto,dia_pais,69,4246,Porto Alegre,frequente,95,6,6827
110,111,635,2022-04-21,47,cartão,volta_as_aulas,30,8605,São Paulo,frequente,291,10,4869
111,112,186,2022-04-22,187,boleto,ano_novo,61,7255,Salvador,ocasional,283,15,3745
112,113,484,2022-04-23,220,cartão,ano_novo,45,7160,Brasília,ocasional,306,11,2737
113,114,680,2022-04-24,136,boleto,volta_as_aulas,55,8436,Belo Horizonte,frequente,276,8,6453
114,115,51,2022-04-25,151,cartão,sem_campanha,31,4900,São Paulo,ocasional,67,14,4490
115,116,891,2022-04-26,135,cartão,natal,68,2942,São Paulo,frequente,68,10,4633
116,117,5,2022-04-27,108,cartão,natal,60,4030,Porto Alegre,premium,156,7,3869
117,118,589,2022-04-28,185,cartão,sem_campanha,27,4929,Curitiba,ocasional,148,5,4764
118,119,160,2022-04-29,165,cartão,black_friday,66,7503,Belo Horizonte,ocasional,191,9,5303
119,120,208,2022-04-30,4,cartão,volta_as_aulas,59,5666,Recife,ocasional,13,13,4840
120,121,257,2022-05-01,98,cartão,volta_as_aulas,50,7498,Porto Alegre,ocasional,125,10,6081
